url,street_address,price,housing,map_address
https://sfbay.craigslist.org/scz/apa/d/aptos-beautiful-tri-level-3bed-25bath/7793370248.html,510 Sumner Ave.,"$4,500",/ 3br - 1760ft2 -,"https://www.google.com/maps/search/36.963711,-121.887258"
https://sfbay.craigslist.org/scz/apa/d/santa-cruz-spanish-style-bedroom-bath/7794044183.html,King St near Bay St.,"$4,200",/ 2br - 1240ft2 -,"https://www.google.com/maps/search/36.968547,-122.042334"
https://sfbay.craigslist.org/scz/apa/d/watsonville-charming-house-outside-of/7793973210.html,66 Riverside Road near Riverside Drive,"$3,200",/ 2br - 990ft2 -,"https://www.google.com/maps/search/36.913935,-121.742300"
https://sfbay.craigslist.org/scz/apa/d/freedom-close-in-country-neighborhood/7790187742.html,108 Via Nicola near Calabasas,"$4,750",/ 4br -,"https://www.google.com/maps/search/36.945383,-121.798639"
https://sfbay.craigslist.org/scz/apa/d/south-lake-tahoe-lovely-pet-friendly/7793906933.html,3612 Birch,"$2,900",/ 3br - 1104ft2 -,"https://www.google.com/maps/search/38.943546,-119.955973"
https://sfbay.craigslist.org/scz/apa/d/santa-cruz-perfect-for-transfer/7789550831.html,Grandview near Mission,"$7,000",/ 4br - 2300ft2 -,"https://www.google.com/maps/search/36.960550,-122.049374"
https://sfbay.craigslist.org/scz/apa/d/santa-clara-on-top-of-the-mountain-in/7789312773.html,289 Crows Nest,"$4,200",/ 3br - 1950ft2 -,N/A
https://sfbay.craigslist.org/scz/apa/d/brookdale-storybook-family-home-with/7792639841.html,N/A,"$6,700",/ 5br - 2500ft2 -,N/A
https://sfbay.craigslist.org/scz/apa/d/watsonville-studio-for-rent/7793659634.html,N/A,"$1,750",/ 340ft2 -,"https://www.google.com/maps/search/36.875673,-121.756668"
https://sfbay.craigslist.org/scz/apa/d/watsonville-studio-for-rent/7793662601.html,N/A,"$1,750",/ 340ft2 -,"https://www.google.com/maps/search/36.875673,-121.756668"
https://sfbay.craigslist.org/scz/apa/d/santa-cruz-charming-home-located-in/7792304065.html,Hagemann Avenue near Soquel Avenue,"$4,975",/ 3br - 1864ft2 -,"https://www.google.com/maps/search/36.979945,-122.001146"
https://sfbay.craigslist.org/scz/apa/d/mount-hermon-bd-ba-house/7793534471.html,N/A,"$3,500",/ 3br - 1300ft2 -,"https://www.google.com/maps/search/37.038941,-122.080979"
https://sfbay.craigslist.org/scz/apa/d/capitola-bed-25-bath-home-recently/7793280990.html,Gross Road near Coffee Lane,"$4,800",/ 3br - 1940ft2 -,"https://www.google.com/maps/search/36.976910,-121.970816"
https://sfbay.craigslist.org/scz/apa/d/aromas-executive-house-on-an-organic/7787781231.html,Maher near Tarpey,"$4,500",/ 4br - 2700ft2 -,"https://www.google.com/maps/search/36.861006,-121.687068"
https://sfbay.craigslist.org/scz/apa/d/scotts-valley-sun-drenched-quiet/7789370891.html,burlwood dr near El Camino Road,"$3,200",/ 2br - 770ft2 -,"https://www.google.com/maps/search/37.061348,-121.997872"
https://sfbay.craigslist.org/scz/apa/d/boulder-creek-mountain-top-tiny-home/7790611581.html,N/A,"$2,400",/ 2br -,N/A
https://sfbay.craigslist.org/scz/apa/d/capitola-furnished-or-unfurnished-home/7792974394.html,3435 Crestline Way near Maretta,"$4,250",/ 3br - 2400ft2 -,"https://www.google.com/maps/search/36.991347,-121.948586"
https://sfbay.craigslist.org/scz/apa/d/aptos-very-clean-small-one-bedroom/7788108176.html,la selva dr near dans dr,"$2,200",/ 1br - 400ft2 -,"https://www.google.com/maps/search/36.947251,-121.849494"
https://sfbay.craigslist.org/scz/apa/d/ben-lomond-bedroom-15-bath-ridgetop/7792064794.html,N/A,"$4,000",/ 2br - 1200ft2 -,N/A
